epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,2921.16,0.5316,0.7357,0.26216,0.88018,0.97967,0.96128,0.98083,0.85529,0.99217,0.94771,0.98615,0.88526,0.56714,0.51688,0.2485,0.84045,0.0006272,0.0006272,0.0006272
106,2949.32,0.54464,0.77047,0.27084,0.88707,0.98705,0.95055,0.98092,0.85359,0.99375,0.95262,0.98582,0.8835,0.57297,0.5152,0.2477,0.84331,0.000614,0.000614,0.000614
107,2977.34,0.53875,0.75497,0.26321,0.88259,0.98216,0.9613,0.98047,0.86197,0.99308,0.95012,0.98243,0.87451,0.53786,0.52882,0.24737,0.83589,0.0006008,0.0006008,0.0006008
108,3005.42,0.53582,0.74838,0.26442,0.88151,0.98472,0.96135,0.98001,0.85275,0.99349,0.95206,0.98556,0.87892,0.57527,0.52768,0.24575,0.83655,0.0005876,0.0005876,0.0005876
109,3033.12,0.53292,0.74239,0.25905,0.87628,0.98163,0.95761,0.97978,0.84356,0.98723,0.95636,0.98703,0.89129,0.60654,0.52923,0.25271,0.83806,0.0005744,0.0005744,0.0005744
110,3060.85,0.53417,0.74227,0.25473,0.8726,0.98149,0.95636,0.98073,0.86061,0.9935,0.95262,0.98489,0.87708,0.54794,0.51173,0.24365,0.82987,0.0005612,0.0005612,0.0005612
111,3088.36,0.53981,0.7542,0.27503,0.88047,0.98614,0.96384,0.98059,0.82538,0.99357,0.96338,0.98843,0.90066,0.67298,0.53245,0.26362,0.87103,0.000548,0.000548,0.000548
112,3115.87,0.52777,0.73018,0.25498,0.88238,0.97969,0.96249,0.98012,0.85932,0.97837,0.95761,0.98335,0.87164,0.55679,0.5091,0.25867,0.84369,0.0005348,0.0005348,0.0005348
113,3143.49,0.53072,0.74142,0.25795,0.87803,0.98964,0.95306,0.98185,0.86708,0.97825,0.95342,0.98127,0.85999,0.5472,0.53285,0.25496,0.85151,0.0005216,0.0005216,0.0005216
114,3170.95,0.53306,0.75017,0.26299,0.88074,0.98369,0.95262,0.98139,0.86033,0.98711,0.95499,0.98629,0.88419,0.5545,0.50789,0.24664,0.84586,0.0005084,0.0005084,0.0005084
115,3198.66,0.53213,0.75491,0.25769,0.883,0.99243,0.94514,0.97966,0.85746,0.98588,0.95776,0.98567,0.87822,0.55334,0.52277,0.24028,0.84375,0.0004952,0.0004952,0.0004952
116,3226.56,0.5291,0.74772,0.25715,0.88302,0.9944,0.95262,0.98096,0.86229,0.99136,0.95137,0.9843,0.88413,0.55362,0.51465,0.24025,0.84324,0.000482,0.000482,0.000482
117,3254.3,0.52865,0.74519,0.25477,0.88014,0.97254,0.96384,0.98233,0.8726,0.99605,0.9443,0.98533,0.87379,0.52536,0.53399,0.23895,0.83148,0.0004688,0.0004688,0.0004688
